Front	Back	Deck	Url
config file	_config.yml	Directory Structure	https://jekyllrb.com/docs/structure/
posts dir	_posts	Directory Structure	https://jekyllrb.com/docs/structure/
unpublished posts dir	_drafts	Directory Structure	https://jekyllrb.com/docs/structure/
partial code dir	_includes	Directory Structure	https://jekyllrb.com/docs/structure/
layout templates dir	_layouts	Directory Structure	https://jekyllrb.com/docs/structure/
diy data dir	_data	Directory Structure	https://jekyllrb.com/docs/structure/
css dir	_sass	Directory Structure	https://jekyllrb.com/docs/structure/
generated site dir	_site	Directory Structure	https://jekyllrb.com/docs/structure/
"<pre class="highlight"><code><span class="nn">---</span>
<span class="na">layout</span><span class="pi">:</span> <span class="s">post</span>
<span class="na">title</span><span class="pi">:</span> <span class="s">Blogging Like a Hacker</span>
<span class="nn">---</span>
</code></pre>"	2	3	4
