Front,Back,Deck,Url
An example of a display variable,"<pre class=""highlight""><code><span class=""p"">{{</span><span class=""w""> </span><span class=""nv"">page</span><span class=""p"">.</span><span class=""nv"">title</span><span class=""w""> </span><span class=""p"">}}</span>
</code></pre>",Basics,https://shopify.github.io/liquid/basics/introduction/
An example of a tag,"<pre class=""highlight""><code><span class=""p"">{%</span><span class=""w""> </span><span class=""kr"">if</span><span class=""w""> </span><span class=""nv"">user</span><span class=""w""> </span><span class=""p"">%}</span>
  Hello <span class=""p"">{{</span><span class=""w""> </span><span class=""nv"">user</span><span class=""p"">.</span><span class=""nv"">name</span><span class=""w""> </span><span class=""p"">}}</span>!
<span class=""p"">{%</span><span class=""w""> </span><span class=""kr"">endif</span><span class=""w""> </span><span class=""p"">%}</span>
</code></pre>",Basics,https://shopify.github.io/liquid/basics/introduction/
An example of a filter,"<pre class=""highlight""><code><span class=""p"">{{</span><span class=""w""> </span><span class=""s2"">""/my/fancy/url""</span><span class=""w""> </span><span class=""p"">|</span><span class=""w""> </span><span class=""nf"">append</span><span class=""p"">:</span><span class=""w""> </span><span class=""s2"">"".html""</span><span class=""w""> </span><span class=""p"">}}</span>
</code></pre>",Basics,https://shopify.github.io/liquid/basics/introduction/
equals,"==

<pre class=""highlight""><code><span class=""p"">{%</span><span class=""w""> </span><span class=""kr"">if</span><span class=""w""> </span><span class=""nv"">product</span><span class=""p"">.</span><span class=""nv"">title</span><span class=""w""> </span><span class=""o"">==</span><span class=""w""> </span><span class=""s2"">""Awesome Shoes""</span><span class=""w""> </span><span class=""p"">%}</span>
  These shoes are awesome!
<span class=""p"">{%</span><span class=""w""> </span><span class=""kr"">endif</span><span class=""w""> </span><span class=""p"">%}</span>
</code></pre>",Operators,https://shopify.github.io/liquid/basics/operators/
does not equal,!=,Operators,https://shopify.github.io/liquid/basics/operators/
greater than,>,Operators,https://shopify.github.io/liquid/basics/operators/
less than,<,Operators,https://shopify.github.io/liquid/basics/operators/
greater than or equal to,>=,Operators,https://shopify.github.io/liquid/basics/operators/
less than or equal to,<=,Operators,https://shopify.github.io/liquid/basics/operators/
logical or,"or

<pre class=""highlight""><code><span class=""p"">{%</span><span class=""w""> </span><span class=""kr"">if</span><span class=""w""> </span><span class=""nv"">product</span><span class=""p"">.</span><span class=""nv"">type</span><span class=""w""> </span><span class=""o"">==</span><span class=""w""> </span><span class=""s2"">""Shirt""</span><span class=""w""> </span><span class=""ow"">or</span><span class=""w""> </span><span class=""nv"">product</span><span class=""p"">.</span><span class=""nv"">type</span><span class=""w""> </span><span class=""o"">==</span><span class=""w""> </span><span class=""s2"">""Shoes""</span><span class=""w""> </span><span class=""p"">%}</span>
  This is a shirt or a pair of shoes.
<span class=""p"">{%</span><span class=""w""> </span><span class=""kr"">endif</span><span class=""w""> </span><span class=""p"">%}</span>
</code></pre>",Operators,https://shopify.github.io/liquid/basics/operators/
